,row,model_num,ic value,Evidence,d(ic value)
198,66,1,1670.5557607503647,No support,1307.8400989312263
186,62,1,1670.5557607503647,No support,1307.8400989312263
189,63,1,1670.5557607503647,No support,1307.8400989312263
192,64,1,1670.5557607503647,No support,1307.8400989312263
195,65,1,1670.5557607503647,No support,1307.8400989312263
201,67,1,1670.5557607503647,No support,1307.8400989312263
183,61,1,1670.5557607503647,No support,1307.8400989312263
204,68,1,1670.5557607503647,No support,1307.8400989312263
207,69,1,1670.5557607503647,No support,1307.8400989312263
269,89,3,1672.0727331009305,No support,1309.357071281792
281,93,3,1672.0727331009305,No support,1309.357071281792
266,88,3,1672.0727331009305,No support,1309.357071281792
284,94,3,1672.0727331009305,No support,1309.357071281792
272,90,3,1672.0727331009305,No support,1309.357071281792
263,87,3,1672.0727331009305,No support,1309.357071281792
278,92,3,1672.0727331009305,No support,1309.357071281792
260,86,3,1672.0727331009305,No support,1309.357071281792
275,91,3,1672.0727331009305,No support,1309.357071281792
130,43,2,1676.9280876993894,No support,1314.212425880251
257,85,3,1677.3926950420494,No support,1314.677033222911
254,84,3,1684.623791930827,No support,1321.9081301116887
127,42,2,1686.9156517659367,No support,1324.1999899467983
94,31,2,1691.6981389285902,No support,1328.9824771094518
112,37,2,1691.6981389285902,No support,1328.9824771094518
115,38,2,1691.6981389285902,No support,1328.9824771094518
109,36,2,1691.6981389285902,No support,1328.9824771094518
103,34,2,1691.6981389285902,No support,1328.9824771094518
97,32,2,1691.6981389285902,No support,1328.9824771094518
100,33,2,1691.6981389285902,No support,1328.9824771094518
